S_t,S_x
        1.0366125107,0.236900
        1.3344780207,2.016000
        2.4149925709,0.231300
        2.6895425320,1.960000
        3.7247579098,0.223000
        4.0060424805,2.170200
        5.1247035265,0.304700
        5.3381549120,2.063600
        6.3573139906,0.028700
        6.6382644176,2.093100
        7.7134395838,0.213100
        8.0097833872,2.058300
        9.0666300058,0.169200
        9.3417030573,2.188800
       10.4223794937,0.113200
       10.7000414133,2.084500
       11.8028365374,0.267900
       12.0534809828,2.178200
       13.1750899553,0.245400
       13.3729460239,2.154600
       14.4315110445,0.088800
       14.7212450504,2.182400
       15.7430759668,0.124000
       16.0419139862,2.222900
       17.0447374582,0.135100
       17.3340880871,2.162300
       18.3615685701,0.098000
       18.6538904905,2.196000
       19.7515710592,0.248100
       20.0035785437,2.060300
       21.0661754608,0.172500
       21.3396980762,2.342800
       22.3235590458,0.160800
       22.6199280024,2.305500
       23.6242854595,0.072300
       23.8991739750,2.471400
       24.8976470232,0.186000
       25.1740210056,2.299600
       26.1960129738,0.279600
       26.4465810061,2.220900
       27.5274565220,0.257400
       27.7257105112,2.306600
       28.6891615391,0.222500
       28.9626135826,2.286400
       30.0257660151,0.226500
       30.2398660183,2.346300
       31.2626464367,0.272100
       31.4382439852,2.151100
       32.4986385107,0.282700
       32.7114470005,2.224500
       33.7763684988,0.231600
       34.0277819633,2.390100
